country,Poverty,Poverty,Poverty,Poverty,Poverty,Poverty,Fragility,Fragility,Fragility,Fragility,Fragility,Fragility,GNI per capita,GNI per capita,GNI per capita,GNI per capita,GNI per capita,GNI per capita,Region,Region,Region,Region,Region,Region
country,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType
Namibia,780030.4,801638.6,774024.63,761177.57,691365.51,629054.78,70.7,70.7,71.3,72.9,75.6,74.5,3889.03,4276.85,4363.1,4347.38,4270,4200.5,SSA,SSA,SSA,SSA,SSA,SSA
Nepal,14454402.42,13788593.39,13921230.35,14307791.61,14080443.12,13783728.77,89,95.4,93.6,94.2,95.4,95.4,329.77,351.82,372.46,408.21,440,457.08,SA,SA,SA,SA,SA,SA
Nicaragua,862224.16,843983.55,828459.35,799857.91,785551.87,822526.06,82.4,82.4,80,81.7,82.6,82.5,1012.06,1022.49,1042.89,1071.54,1000,972.59,LAC,LAC,LAC,LAC,LAC,LAC
Niger,8628043.46,9175687.88,9471919.8,9933002.08,10180042.88,10586356.45,87,87,91.2,94.5,96.5,97.8,295.66,296.85,297.97,336.77,340,325.44,SSA,SSA,SSA,SSA,SSA,SSA
Nigeria,102418193.3,108472511.5,115954971,110525184.3,106507011.2,104979102.6,84.3,94.4,95.6,95.7,99.8,100.2,705.03,912.54,1021.6,1194,1190,1240.1,SSA,SSA,SSA,SSA,SSA,SSA
Pakistan,35212104.83,25027132.38,26342490.32,24051614.44,29180833.51,20595600.65,89.4,103.1,100.1,103.8,104.1,102.5,818.74,868.56,915.19,959.28,1000,1016.56,SA,SA,SA,SA,SA,SA
Panama,338953.82,311595.6,304827.21,314321.29,296652.36,328003.88,59.6,59.6,59.4,58.6,59.7,59.3,5287.71,5442.27,5916.79,6408.82,6570,6650,LAC,LAC,LAC,LAC,LAC,LAC
Papua New Guinea,1270656.5,1133144.87,1070987.56,968509.29,881921.91,863651.6,84.6,84.6,85.1,84.6,84.1,83.9,773.26,791.6,1000.32,1112.36,1180,1206.34,EAP,EAP,EAP,EAP,EAP,EAP
Paraguay,549086.42,473611.92,394966.29,374595.67,351660.16,371315.95,88.9,72,72.9,72.3,72,72.1,1387.31,1539.23,1755.88,2173.69,2250,2118.64,LAC,LAC,LAC,LAC,LAC,LAC
Peru,2276978.83,2237172.97,2347511.61,2087610.18,1825692.02,1821826.36,88.1,79.2,76.4,77.5,77.1,76.9,3013.43,3210.39,3554.33,4071.85,4200,4171.11,LAC,LAC,LAC,LAC,LAC,LAC
